Id;EquipoLocal;EquipoVisitante;Fecha;GolesLocal;GolesVisitante;Estado;Grupo
1;Mexico;Sudafrica;2026-06-11;2;0;Finalizado;A
2;Brasil;Marruecos;2026-06-13;2;1;Finalizado;C
3;Haiti;Escocia;2026-06-13;1;1;Finalizado;C
4;Brasil;Haiti;2026-06-19;3;0;Finalizado;C
5;Escocia;Marruecos;2026-06-19;0;2;Finalizado;C
6;Francia;Senegal;2026-06-16;3;1;Finalizado;I
7;Noruega;Francia;2026-06-22;1;4;Finalizado;I
8;Senegal;Irak;2026-06-22;5;0;Finalizado;I
9;Japon;Tunez;2026-06-15;4;0;Finalizado;F
10;Paraguay;Turquia;2026-06-16;1;0;Finalizado;D
11;Argelia;Austria;2026-06-17;3;3;Finalizado;J
12;Jordania;Argentina;2026-06-17;1;3;Finalizado;J
13;Inglaterra;Croacia;2026-06-17;4;2;Pendiente;L
14;Ghana;Panama;2026-06-17;1;0;Pendiente;L
15;Inglaterra;Ghana;2026-06-23;0;0;Pendiente;L
16;Panama;Croacia;2026-06-23;0;1;Pendiente;L
17;Panama;Inglaterra;2026-06-27;0;2;Pendiente;L
18;Croacia;Ghana;2026-06-27;2;1;Pendiente;L
19;Portugal;Uzbekistan;2026-06-23;5;0;Finalizado;K
20;Colombia;RDCongo;2026-06-23;1;0;Finalizado;K
21;Colombia;Portugal;2026-06-27;0;0;Finalizado;K
22;RDCongo;Uzbekistan;2026-06-27;3;1;Finalizado;K
23;CaboVerde;ArabiaSaudita;2026-06-26;0;0;Finalizado;H
24;Uruguay;Espana;2026-06-26;0;1;Finalizado;H
25;Alemania;Curazao;2026-08-05;5;0;Pendiente;E
26;PaisesBajos;Japon;2026-08-08;3;2;Pendiente;F
27;EstadosUnidos;Bolivia;2026-06-12;4;1;Pendiente;D
28;Canada;Nigeria;2026-06-12;2;2;Pendiente;B
29;Italia;Ecuador;2026-06-13;3;1;Pendiente;B
30;Belgica;Egipto;2026-06-14;4;1;Pendiente;E
31;CoreaDelSur;Australia;2026-06-14;2;1;Pendiente;A
32;Suiza;Camerun;2026-06-15;3;0;Pendiente;G
33;Dinamarca;Chile;2026-06-15;2;2;Pendiente;G
34;Iran;NuevaZelanda;2026-06-16;3;1;Pendiente;H
35;Mexico;CoreaDelSur;2026-06-18;3;1;Pendiente;A
36;Sudafrica;Australia;2026-06-18;1;2;Pendiente;A
37;Canada;Italia;2026-06-18;1;4;Pendiente;B
38;Nigeria;Ecuador;2026-06-18;2;3;Pendiente;B
39;EstadosUnidos;Paraguay;2026-06-19;3;1;Pendiente;D
40;Bolivia;Turquia;2026-06-19;1;4;Pendiente;D
41;Alemania;Belgica;2026-06-20;3;3;Pendiente;E
42;Curazao;Egipto;2026-06-20;1;4;Pendiente;E
43;PaisesBajos;Tunez;2026-06-20;5;1;Pendiente;F
44;Suiza;Dinamarca;2026-06-21;2;1;Pendiente;G
45;Camerun;Chile;2026-06-21;2;4;Pendiente;G
46;Espana;ArabiaSaudita;2026-06-21;4;0;Pendiente;H
47;Uruguay;CaboVerde;2026-06-21;3;1;Pendiente;H
48;Francia;Irak;2026-06-22;5;0;Pendiente;I
49;Argentina;Austria;2026-06-23;4;2;Pendiente;J
50;Jordania;Argelia;2026-06-23;1;3;Pendiente;J
51;Australia;Mexico;2026-06-24;1;3;Pendiente;A
52;Sudafrica;CoreaDelSur;2026-06-24;1;2;Pendiente;A
53;Ecuador;Canada;2026-06-24;3;2;Pendiente;B
54;Nigeria;Italia;2026-06-24;1;4;Pendiente;B
55;Marruecos;Haiti;2026-06-25;4;1;Pendiente;C
56;Escocia;Brasil;2026-06-25;1;4;Pendiente;C
57;Turquia;EstadosUnidos;2026-06-25;2;3;Pendiente;D
58;Bolivia;Paraguay;2026-06-25;2;2;Pendiente;D
59;Egipto;Alemania;2026-06-26;1;4;Pendiente;E
60;Curazao;Belgica;2026-06-26;0;5;Pendiente;E
61;Tunez;Japon;2026-06-26;1;3;Pendiente;F
62;PaisesBajos;Japon;2026-06-26;3;2;Pendiente;F
63;Chile;Suiza;2026-06-27;2;3;Pendiente;G
64;Camerun;Dinamarca;2026-06-27;1;2;Pendiente;G
65;ArabiaSaudita;Uruguay;2026-06-27;1;4;Pendiente;H
66;Espana;Iran;2026-06-27;4;1;Pendiente;H
67;Irak;Noruega;2026-06-28;1;3;Pendiente;I
68;Senegal;Francia;2026-06-28;2;4;Pendiente;I
69;Austria;Jordania;2026-06-28;3;1;Pendiente;J
70;Argelia;Argentina;2026-06-28;2;4;Pendiente;J
71;Uzbekistan;Colombia;2026-06-29;1;3;Pendiente;K
72;RDCongo;Portugal;2026-06-29;1;4;Pendiente;K
73;Italia;CoreaDelSur;2026-07-01;3;1;Pendiente;16vos
74;Ecuador;Sudafrica;2026-07-01;3;2;Pendiente;16vos
75;Brasil;Paraguay;2026-07-02;4;1;Pendiente;16vos
76;Marruecos;EstadosUnidos;2026-07-02;2;3;Pendiente;16vos
77;Alemania;Tunez;2026-07-03;4;1;Pendiente;16vos
78;Belgica;Japon;2026-07-03;3;2;Pendiente;16vos
79;Suiza;Espana;2026-07-03;2;4;Pendiente;16vos
80;Camerun;Uruguay;2026-07-04;1;3;Pendiente;16vos
81;Francia;Austria;2026-07-04;4;2;Pendiente;16vos
82;Senegal;Argentina;2026-07-04;1;3;Pendiente;16vos
83;Portugal;Ghana;2026-07-05;3;1;Pendiente;16vos
84;Colombia;Inglaterra;2026-07-05;2;3;Pendiente;16vos
85;Mexico;Nigeria;2026-07-05;3;2;Pendiente;16vos
86;Canada;Egipto;2026-07-06;2;1;Pendiente;16vos
87;Croacia;Chile;2026-07-06;3;2;Pendiente;16vos
88;Panama;Dinamarca;2026-07-07;1;3;Pendiente;16vos
89;Italia;Brasil;2026-07-09;2;3;Pendiente;Octavos
90;Ecuador;Marruecos;2026-07-09;2;1;Pendiente;Octavos
91;Alemania;Suiza;2026-07-10;3;2;Pendiente;Octavos
92;Belgica;Uruguay;2026-07-10;2;3;Pendiente;Octavos
93;Francia;Portugal;2026-07-11;3;2;Pendiente;Octavos
94;Argentina;Inglaterra;2026-07-11;3;2;Pendiente;Octavos
95;Mexico;Croacia;2026-07-12;2;1;Pendiente;Octavos
96;Canada;Dinamarca;2026-07-12;1;2;Pendiente;Octavos
97;Brasil;Alemania;2026-07-15;3;2;Pendiente;Cuartos
98;Ecuador;Uruguay;2026-07-16;1;2;Pendiente;Cuartos
99;Francia;Inglaterra;2026-07-17;4;3;Pendiente;Cuartos
100;Mexico;Canada;2026-07-18;3;1;Pendiente;Cuartos
101;Brasil;Francia;2026-07-21;2;3;Pendiente;Semifinal
102;Uruguay;Mexico;2026-07-22;2;3;Pendiente;Semifinal
103;Francia;Uruguay;2026-07-25;4;2;Pendiente;TercerPuesto
104;Brasil;Mexico;2026-07-26;3;2;Pendiente;Final
